OrderID,UserID,CompanyID,Date,Timestamp,ExpirationDate,OptionType,SpotPrice,StrikePrice,OptionPrice
1,9,4,2024-11-01,110238000,6,Call,161.25,161.00,5.98
2,11,4,2024-11-01,112049000,3,Put,161.01,161.00,5.18
3,16,1,2024-11-01,101112000,6,Call,155.95,156.00,5.64
4,20,3,2024-11-01,103176000,3,Call,148.06,148.00,5.41
5,21,1,2024-11-01,115552000,3,Call,174.03,174.00,6.34
6,22,2,2024-11-01,121548000,4,Put,182.51,183.00,6.13
7,23,2,2024-11-01,104726000,7,Put,144.84,145.00,4.75
8,26,2,2024-11-01,113132000,7,Call,162.54,163.00,5.68
9,41,2,2024-11-01,112614000,1,Call,159.71,160.00,5.66
10,50,3,2024-11-01,110985000,5,Put,162.96,163.00,5.27
11,58,1,2024-11-01,116144000,3,Put,175.26,175.00,5.52
12,61,1,2024-11-01,113940000,6,Put,168.20,168.00,5.32
13,62,4,2024-11-01,119943000,6,Call,189.67,190.00,6.73
14,63,1,2024-11-01,105036000,7,Call,147.11,147.00,5.40
15,65,4,2024-11-01,113337000,6,Put,159.41,159.00,4.93
16,67,3,2024-11-01,103729000,6,Call,144.62,145.00,5.07
17,70,4,2024-11-01,108686000,5,Put,161.73,162.00,5.35
18,72,4,2024-11-01,106209000,3,Call,151.18,151.00,5.58
19,74,3,2024-11-01,105141000,6,Put,145.91,146.00,4.75
20,76,4,2024-11-01,118128000,5,Put,184.86,185.00,6.03
21,79,4,2024-11-01,116260000,2,Call,180.35,180.00,6.73
22,82,3,2024-11-01,117781000,2,Put,186.84,187.00,6.10
23,83,4,2024-11-01,105402000,4,Put,146.81,147.00,4.82
24,85,4,2024-11-01,107458000,3,Put,155.58,156.00,5.22
25,89,3,2024-11-01,117772000,3,Call,187.10,187.00,6.84
26,90,3,2024-11-01,105601000,3,Put,146.94,147.00,4.76
27,97,2,2024-11-01,114523000,6,Call,173.52,174.00,6.07
28,99,3,2024-11-01,107889000,4,Put,155.62,156.00,5.21
29,3,1,2024-11-02,215673000,6,Put,229.82,230.00,7.49
30,5,1,2024-11-02,212872000,7,Call,216.32,216.00,8.02
31,7,2,2024-11-02,216036000,3,Put,232.37,232.00,7.31
32,10,2,2024-11-02,205194000,2,Put,196.58,197.00,6.54
33,13,1,2024-11-02,216718000,7,Put,236.66,237.00,7.80
34,15,1,2024-11-02,203082000,4,Call,198.22,198.00,7.31
35,21,3,2024-11-02,215910000,7,Put,231.97,232.00,7.49
36,23,2,2024-11-02,216265000,3,Call,232.60,233.00,8.25
37,24,4,2024-11-02,215487000,5,Put,231.20,231.00,7.35
38,28,3,2024-11-02,209574000,4,Call,215.50,215.00,8.08
39,31,1,2024-11-02,203078000,2,Call,198.68,199.00,7.06
40,33,3,2024-11-02,220668000,6,Call,242.28,242.00,8.94
41,35,2,2024-11-02,217958000,4,Call,242.11,242.00,8.85
42,37,1,2024-11-02,209629000,7,Call,217.56,218.00,7.68
43,39,3,2024-11-02,216751000,5,Call,239.38,239.00,8.89
44,42,1,2024-11-02,218973000,1,Put,248.08,248.00,7.95
45,48,3,2024-11-02,212057000,7,Put,220.21,220.00,6.99
46,50,3,2024-11-02,212292000,4,Call,217.80,218.00,7.81
47,53,2,2024-11-02,203731000,7,Put,197.63,198.00,6.55
48,57,2,2024-11-02,209648000,3,Call,218.66,219.00,7.77
49,58,3,2024-11-02,207099000,1,Put,211.18,211.00,6.72
50,59,2,2024-11-02,213730000,4,Call,218.77,219.00,7.83
51,60,3,2024-11-02,214507000,7,Call,229.25,229.00,8.45
52,62,3,2024-11-02,210826000,3,Put,217.06,217.00,6.97
53,63,4,2024-11-02,201480000,3,Put,190.77,191.00,6.26
54,68,3,2024-11-02,215878000,2,Put,232.05,232.00,7.45
55,70,3,2024-11-02,206543000,3,Call,206.20,206.00,7.59
56,71,3,2024-11-02,213970000,6,Call,229.35,229.00,8.50
57,73,1,2024-11-02,200126000,4,Call,180.33,180.00,6.72
58,75,1,2024-11-02,202922000,1,Call,199.76,200.00,7.14
59,76,2,2024-11-02,219833000,6,Call,247.56,248.00,8.78
60,77,1,2024-11-02,214419000,6,Put,229.88,230.00,7.47
61,79,1,2024-11-02,217483000,1,Call,241.74,242.00,8.65
62,81,3,2024-11-02,210895000,2,Call,221.35,221.00,8.22
63,86,3,2024-11-02,202304000,5,Call,193.25,193.00,7.14
64,88,2,2024-11-02,214808000,6,Put,232.92,233.00,7.54
65,89,4,2024-11-02,209978000,7,Call,216.92,217.00,7.84
66,90,4,2024-11-02,214505000,1,Put,226.16,226.00,7.21
67,93,4,2024-11-02,219198000,2,Call,244.72,245.00,8.75
68,96,1,2024-11-02,218552000,7,Call,244.23,244.00,8.98
69,97,2,2024-11-02,202115000,2,Call,194.63,195.00,6.89
70,98,1,2024-11-02,217434000,3,Put,241.75,242.00,7.91
71,2,1,2024-11-03,317887000,4,Call,291.01,291.00,10.57
72,10,1,2024-11-03,317268000,4,Put,292.09,292.00,9.36
73,12,1,2024-11-03,314808000,7,Call,282.08,282.00,10.28
74,13,1,2024-11-03,319988000,2,Call,299.31,299.00,11.03
75,17,2,2024-11-03,314768000,6,Put,284.94,285.00,9.21
76,19,3,2024-11-03,304342000,6,Call,248.28,248.00,9.16
77,21,4,2024-11-03,316634000,6,Put,284.04,284.00,9.13
78,26,4,2024-11-03,313683000,7,Put,272.07,272.00,8.73
79,27,2,2024-11-03,307351000,1,Put,261.93,262.00,8.47
80,29,3,2024-11-03,308388000,4,Put,260.78,261.00,8.51
81,30,1,2024-11-03,305768000,1,Put,249.29,249.00,7.89
82,31,1,2024-11-03,304599000,7,Put,248.45,248.00,7.78
83,32,3,2024-11-03,309581000,3,Put,268.41,268.00,8.45
84,33,2,2024-11-03,314660000,7,Put,282.48,282.00,8.86
85,39,1,2024-11-03,312932000,5,Call,269.41,269.00,9.99
86,42,2,2024-11-03,313001000,5,Call,271.64,272.00,9.69
87,50,3,2024-11-03,307949000,3,Call,260.40,260.00,9.66
88,52,1,2024-11-03,304168000,2,Put,252.99,253.00,8.16
89,59,1,2024-11-03,305825000,7,Put,249.93,250.00,8.09
90,63,3,2024-11-03,313524000,2,Put,269.10,269.00,8.62
91,64,1,2024-11-03,303493000,1,Call,250.92,251.00,9.07
92,68,2,2024-11-03,309280000,2,Put,267.50,268.00,8.87
